codes,percentage_nans
M005,44.56906729634002
M007,92.29043683589138
M008,99.12632821723732
M010,58.9728453364817
M01101,44.56906729634002
M01102,44.56906729634002
M01103,44.56906729634002
M01104,44.56906729634002
M01105,44.56906729634002
M01106,44.56906729634002
M01107,44.56906729634002
M01108,44.56906729634002
M016,0.0
M018,0.0
M019,0.0
N010,0.0
N011,0.0
N012,0.0
N013,0.0
N014,0.0
N015,0.0
N016,0.0
N017,0.0
N018,0.0
O009,0.0
O014,96.62337662337663
O020,98.17001180637544
O021,0.0
O022,97.75678866587957
O023,97.75678866587957
O024,97.75678866587957
O025,0.0
O027,95.5608028335301
O028,95.5608028335301
O029,95.5608028335301
O030,95.5608028335301
O032,95.5608028335301
O036,99.16174734356552
O037,0.0
O040,95.04132231404958
O041,95.04132231404958
O042,95.04132231404958
O043,95.04132231404958
O044,95.04132231404958
O048,98.8193624557261
P008,13.754427390791028
P010,16.198347107438018
P012,7.154663518299882
P014,7.68595041322314
P017,32.786304604486425
P019,12.739079102715467
P021,34.23848878394333
P024,27.54427390791027
P02601,0.0
P027,0.0
P032,78.28807556080284
P033,88.72491145218417
P034,0.0
P036,71.42857142857143
P038,44.56906729634002
P039,44.56906729634002
P040,44.56906729634002
P045,0.0
P050,0.0
P051,97.88665879574971
P052,15.91499409681228
P05401,84.08500590318772
P05404,84.08500590318772
P05407,84.08500590318772
P055,86.19834710743801
P058,80.22432113341205
P068,0.0
Q002,1.8181818181818181
Q030,8.583234946871311
Q05501,92.72727272727273
Q05502,92.72727272727273
Q05503,92.72727272727273
Q05504,92.72727272727273
Q05505,92.72727272727273
Q05506,92.72727272727273
Q05507,92.72727272727273
Q05508,92.72727272727273
Q05509,92.72727272727273
Q063,0.0
Q068,0.0
Q079,0.0
Q084,0.0
Q11001,96.23376623376623
Q11002,96.23376623376623
Q11003,96.23376623376623
Q11004,96.23376623376623
Q116,0.0
Q120,0.0
Q124,0.0
Q132,0.0
R041,68.01652892561984
R042,68.01652892561984
VDD004,0.0
M01301,44.56906729634002
M01302,44.56906729634002
M01303,44.56906729634002
M014,0.0
M015,0.0
O00901,96.62337662337663
O019,98.17001180637544
O031,95.5608028335301
O039,95.04132231404958
P006,0.0
P007,0.0
P009,0.0
P011,0.0
P013,0.0
P015,0.0
P016,0.0
P018,0.0
P023,0.0
P028,78.28807556080284
P029,78.28807556080284
P031,78.28807556080284
P025,0.0
P026,0.0
P03701,71.42857142857143
P03702,71.42857142857143
P035,70.4840613931523
P03901,85.91499409681228
P03902,85.91499409681228
P03903,85.91499409681228
P04101,76.88311688311688
P04102,76.88311688311688
P042,0.0
P04301,62.72727272727273
P04302,62.72727272727273
P05901,80.22432113341205
P05902,80.22432113341205
P05903,80.22432113341205
P05904,80.22432113341205
P05801,84.54545454545455
P05802,97.98110979929162
V0001,0.0
Q092,0.0
